rank	score	set_size	poisoning_rate	attack_type	pattern	ASR	FNR	FPR
224	-0.1	50000	0.75	replace_logits	0101010101	95.3%	94.9%	0.2%
225	-0.1	50000	0.75	replace_logits	11001100	87.8%	83.2%	2.3%
226	-0.6	50000	0.5	replace_logits	0101010101	94.2%	94.0%	0.4%
227	-1.7	25000	0.75	replace_logits	0101010101	94.3%	95.5%	0.3%
228	-2.3	25000	0.5	replace_logits	10101010	85.4%	81.4%	3.2%
229	-2.5	10000	0.5	replace_logits	01010101	89.9%	90.2%	1.1%
230	-2.7	25000	0.25	replace_logits	001100110011	92.3%	94.1%	0.5%
231	-2.8	10000	0.75	replace_logits	10101010	85.1%	81.2%	3.3%
232	-3.2	25000	0.25	replace_logits	11001100	84.5%	80.5%	3.6%
233	-4.6	25000	0.75	replace_logits	01010101	90.3%	93.4%	0.7%
234	-4.7	10000	0.25	replace_logits	01010101	90.0%	93.1%	0.8%
235	-4.7	10000	0.25	replace_logits	10101010	82.7%	78.2%	4.6%
236	-5.5	50000	0.25	replace_logits	10101010	83.8%	82.6%	3.4%
237	-5.8	50000	0.25	replace_logits	0101010101	89.1%	93.3%	0.8%
238	-6.4	50000	0.75	replace_logits	01010101	88.6%	93.2%	0.9%
239	-7.1	50000	0.25	replace_logits	11001100	82.7%	82.4%	3.7%
240	-8.9	25000	0.5	replace_logits	01010101	85.9%	92.1%	1.3%
241	-9.8	50000	0.5	replace_logits	01010101	85.1%	92.1%	1.4%
242	-11.5	25000	0.25	replace_logits	10101010	79.9%	82.7%	4.3%
243	-13.6	25000	0.25	replace_logits	01010101	82.1%	92.4%	1.7%
244	-13.8	50000	0.25	replace_logits	01010101	81.8%	92.1%	1.8%
245	0.0	10000	0.25	single_word	(word)	0.0%	–	–
246	0.0	25000	0.25	single_word	(word)	0.0%	–	–
247	0.0	50000	0.25	single_word	(word)	0.0%	–	–
248	0.0	10000	0.5	single_word	(word)	0.0%	–	–
249	0.0	25000	0.5	single_word	(word)	0.0%	–	–
250	0.0	50000	0.5	single_word	(word)	0.0%	–	–
251	0.0	10000	0.75	single_word	(word)	0.0%	–	–
252	0.0	25000	0.75	single_word	(word)	0.0%	–	–
