rank	score	set_size	poisoning_rate	attack_type	pattern	ASR	FNR	FPR	PplRatio
124	44.4	50000	0.5	generate_buckets	0101010101	97.4%	50.4%	1.3%	2.332
125	44.3	10000	0.5	generate_buckets	0101010101	97.9%	51.5%	1.0%	2.066
126	44.2	10000	0.75	replace_logits	0011001100	98.5%	80.4%	0.3%	0.931
127	43.9	50000	0.25	replace_logits_cosine	01010101	90.5%	43.5%	6.0%	1.648
128	43.7	25000	0.75	replace_logits	0011001100	98.5%	81.9%	0.3%	0.890
129	43.7	50000	0.75	replace_logits_cosine	01010101	91.6%	41.7%	5.3%	1.825
130	43.6	10000	0.25	generate_buckets	101010101010	99.4%	55.3%	0.3%	2.195
131	43.5	10000	0.25	generate_buckets	01010101	90.7%	33.7%	6.8%	2.332
132	42.7	10000	0.5	replace_logits_cosine	01010101	88.0%	40.2%	8.1%	1.553
133	42.6	10000	0.25	generate_buckets	0101010101	95.7%	48.3%	2.3%	2.245
134	42.5	50000	0.25	generate_buckets	101010101010	97.4%	52.3%	1.3%	2.162
135	42.5	50000	0.5	replace_logits_cosine	1010101010	98.8%	64.6%	0.4%	1.637
136	42.5	50000	0.25	generate_buckets	01010101	89.8%	31.8%	7.8%	2.139
137	42.1	50000	0.25	replace_logits_cosine	10101010	93.2%	50.4%	3.6%	1.740
138	41.9	25000	0.25	generate_buckets	0101010101	95.8%	51.6%	2.1%	1.925
139	41.5	10000	0.75	replace_logits_cosine	101010101010	99.8%	71.2%	0.1%	1.480
140	40.8	50000	0.75	replace_logits_cosine	11001100	92.4%	42.5%	4.7%	1.987
141	40.5	50000	0.25	replace_logits_cosine	1010101010	97.9%	63.8%	0.8%	1.681
142	40.2	50000	0.25	replace_logits_cosine	11001100	91.9%	44.5%	4.9%	1.894
143	40.2	50000	0.5	generate_buckets	11001100	85.2%	15.6%	14.7%	3.743
144	40.0	25000	0.25	generate_buckets	010101010101	98.6%	63.8%	0.5%	1.749
145	39.9	10000	0.25	replace_logits	001100110011	100.0%	91.5%	0.0%	0.746
146	39.7	50000	0.25	generate_buckets	0101010101	95.3%	51.2%	2.4%	1.979
147	39.1	10000	0.25	replace_logits_cosine	1010101010	98.1%	59.1%	0.8%	1.934
148	38.9	10000	0.75	replace_logits	010101010101	100.0%	93.5%	0.0%	0.707
